	FKBP4	AR	HSP90AA1	CFTR	HSPA8	DVL2	CSNK1E	PLK1	RPAP3	CRY1	CD4	CD86	FYN	ZAP70	LCK	PPP5C	RB1CC1	TP53	PSMA4	PSMB1	PSMB5	LCP2	SYK	ITK	DCN	EGFR	TGFB1	CD22	LYN	PSMC4	TNFRSF1A	TNF	CASP8	FGF4	FGFR1	FGFR2	NGFR	NTRK2	NTRK1	MAP2K5	MAP3K2	PPP1R13B	EFNB1	EPHB4	CDC6	CDK2	CDK1	POLA1	PSMD5	VCL	SRC	SIRT1	HDAC4	HIC1	PPARA	EP300	CLOCK	PPARGC1A	CDC14A	RELA	FOXO1	MYOD1	RRP8	KAT2B	RPS19BP1	FOXO4	FOXO3	ZEB1	SUV39H1	XRCC6	CCAR2	NCOR1	ARNTL	PPARG	TGFBR3	PSMD8	EFNA2	EPHA2	MAPK1	MAP2K2	RPS6KA1	PTPRR	SHC1	PEA15	FOS	MKNK2	JUN	PTPN7	DUSP6	RPS6KA2	ARRB2	DUSP1	STAT5A	ELK1	STAT3	MAP2K1	RPS6KA3	ETS1	BIK	BCL2	MCM5	RRM1	CBX7	HDAC2	TAB1	MAPK14	XIAP	ST13	IL2RB	JAK1	RBX1	CRBN	RIPK3	FKBP3	HDAC1	POLE2	PSMA3	AHSA1	HSP90AB1	MTHFD1	ATIC	GART	APEX1	POLB	NFKBIA	AURKA	AURKB	CDC20	BORA	KIF11	KIF15	MYCN	PTTG1	BIRC5	UBE2C	TPX2	INCENP	CCNB2	BUB1	DLGAP5	CENPA	TACC3	CSNK2A1	PSMD10	MDM2	CDK4	TBL1X	HDAC3	DHODH	UMPS	PARD6A	PRKCI	PRKCZ	PSMD7	TSC2	MTOR	AKT1	STUB1	ERBB2	ESR1	CSK	PTPN22	CAV1	PXN	PAG1	AGO2	RIPK2	TNFRSF10A	SGTA	FBL	NOLC1	LTBP1	IL6	ACVRL1	ENG	MMP9	ITGAV	TGFBR1	TGFBR2	CD79A	CDC37	EPOR	KIT	STAT5B	JAK2	PIK3R2	PIK3CD	ERBB3	PIK3CA	GSK3A	CTNNB1	AXIN1	HGF	SDC1	MET	PSMA2	BLNK	BTK	CYP26A1	ALDH1A2	PPIF	CSF3	RPS6KB1	DDX5	CCL2	IL1B	HDAC5	MEF2C	MEF2D	MEF2A	NCOR2	NFKB1	MAP3K8	IL2	JAK3	SPI1	CCND1	CDKN1A	CDK6	MYC	CDKN2A	GSK3B	CDKN1B	RB1	IL10RA	KITLG	GLI1	SMO	FGF6	RAD51AP1	RAD51	ARHGDIB	RAC2	PRKAB1	PRKAA1	FBXO5	MAP2K3	MAPKAPK2	RPS6KA4	MAPKAPK3	MKNK1	DUSP16	ATF2	DUSP9	DUSP10	MAP2K6	FIG4	PIKFYVE	EXOC2	TBK1	HBEGF	ERBB4	IL4	SKP1	NUP155	NR3C1	SMARCA4	MLH1	ATM	DDB1	IKZF1	IKZF3	CUL4A	CSNK1A1	UBE3A	MSH2	NCK2	KDR	PAK1	DOK1	RET	ORC2	MSH6	PAICS	ADSL	SHMT2	SHMT1	APRT	TTR	RBP4	FGF23	FGFR4	TGFB3	MAPK3	NCAPH	MND1	KCNJ8	ABCC8	MAPK8IP1	MAPK8	TNFSF10	FLT3	GRB2	FLT3LG	AHR	AIP	ARNT	MAF	STAT1	CYP1A1	ATP7B	ATOX1	LRP1	A2M	BATF3	PLCG1	PDGFRB	PTGIS	PTGS2	SNAI1	EZH2	HIST1H4F	DOT1L	BRD2	BRD4	HIST1H1A	EREG	EFNB2	IRF1	FOSB	CDC25B	CHEK1	FNTB	FNTA	TOP2A	TRAF2	TICAM1	HSPB1	TUBGCP6	TUBG1	YWHAH	RAF1	NCF1	NCF4	ARHGDIA	NCF2	CYBB	DOCK2	CYBA	GLI2	SHH	GNB1	PTCH2	GNG2	GLI3	GNAI1	PTCH1	BCL2L2	BCL2L11	PARP2	PARG	FOXA1	NEDD8	MAPK8IP3	TUBGCP2	TUBGCP3	TUBGCP4	MZT1	TUBGCP5	MZT2B	NCAPG	RRM2B	RAP1A	YWHAG	SHOC2	YWHAE	YWHAB	PEBP1	RRAS2	KRAS	HRAS	BRAF	BAD	YWHAQ	NRAS	YWHAZ	PHB	APOE	MAPT	MLLT1	CDK9	TRIM28	NR1H2	RXRA	RXRB	RXRG	RARA	NCOA2	NCOA3	PML	NCOA1	NRIP1	PRKAB2	LGALS3	DNAJB1	SMARCC1	SMARCA2	PER2	RPA1	ATR	CCNA1	MBD2	CCNB1	CDK7	CCNA2	GTF2H3	GTF2H5	POLR2A	CCNH	GTF2H2	MNAT1	GTF2H4	GTF2H1	ERCC2	GTF2E2	GTF2E1	ERCC3	VHL	EGLN1	KIDINS220	PDGFRA	PDGFC	PDGFA	CRK	PDGFB	PIK3R1	KLB	APC	RBL1	CDKN2D	CDKN2B	PCNA	CCNE1	CCND3	CEBPA	CDKN2C	CCND2	ESPL1	HTRA2	USP7	RPL11	YY1	RPL26	UBA52	KAT5	NPM1	MDM4	RPL5	UBC	TP63	RPL23	UBE2D2	ARRB1	CCNG1	RPS27A	DAXX	HIF1A	RPS7	CREBBP	ABL1	UBE2D1	NUMB	CHEK2	TP73	HUS1	PSMB7	RIPK1	TLR2	IRAK1	KIF23	NUSAP1	MAD2L1	BUB1B	CENPE	NDC80	RACGAP1	PRC1	ASPM	TTK	TOPBP1	BARD1	COX17	PSMC1	LRP6	LMNB1	PSMA6	PALB2	USP14	PSMD11	CDH1	IGF1R	VAC14	PTPN11	NCK1	PTEN	RASA1	PDGFD	TIPIN	CCNT1	FLT4	VEGFA	VEGFC	FIGF	NRP2	PIK3C3	MCM4	RBL2	SMAD7	SMAD2	ACVR1B	DNAJB6	KCNH2	KCNE1	KCNE2	RHEB	SMARCD3	PSMB8	PSMD1	PSMD4	PSMB3	PSMD13	PSMC2	PSMA1	POMP	PSMD2	PSMB6	PSMC3	PSMB10	PSMD12	PSMD6	PSMB2	PSMA8	PSMC6	PSMB4	PSMD3	PSMA5	PSMB9	PSMD14	PSMC5	PSMA7	UBB	ADRM1	PSME4	RCOR1	PKMYT1	CHTF18	TELO2	SMURF2	TYROBP	CSF1R	KAL1	PHLPP1	PIK3R3	RRAGB	XRCC1	PARP1	LIG3	ARAF	KSR1	PIAS4	GAB1	TNIP2	SMG6	TERT	SMARCB1	PRKCQ	CD28	CARD11	MSH4	ARFGAP3	ARFGAP1	LIG1	POLD1	FEN1	IL1A	IL1RAP	CXCL1	CCL3	CXCL2	IL10	IL1R2	CASP1	CCL4	IL18	IL1R1	MYD88	CXCL8	EED	WHSC1L1	JMJD6	BIRC3	POLD3	EPAS1	SGOL1	AKT3	GRB14	INSR	STRN	SH2D2A	PECAM1	SHC2	PGF	ITGB3	IQGAP1	CDH5	FLT1	ITGB1	NRP1	IRS1	CBL	FGR	CBLB	MCM6	CCNT2	PPAT	PFAS	NOP58	FGF2	FGFR3	RUNX2	ANKRA2	UBE2I	RFXANK	TYK2	FGF10	DNMT3A	FOSL2	ESRRG	RAD18	LAT	VAV1	CD3E	CD3D	CD3G	CD247	GRAP2	MCM2	RAB7A	LRRK2	LEF1	EGF	AFF4	NBN	POLA2	DBF4	SMARCD1	ARID1A	SMARCD2	ARID2	SMARCE1	ACTL6A	SMARCC2	SS18	ARID1B	MAPKAP1	E2F1	CDT1	CDKN3	BRCA1	CKS2	CDC25A	CCNE2	SPDYA	CDKN1C	SKP2	CCNB3	CKS1B	BRD9	PA2G4	NRG1	NRG2	RNF41	PTK2B	FANCM	PELI2	JDP2	FGF7	IGF2	INS	GRB10	PTPN1	IGF1	GNB2L1	IRS2	RAC1	UNC45B	CDH2	S100B	TBP	BAK1	BLM	HSPA9	ING4	PPP1R13L	WWOX	S100A2	HSPA1A	DNMT1	WRN	SETD7	E4F1	SP1	XPO1	BCL2L1	NDN	CUL7	SMYD2	NQO1	KAT8	SFN	G6PD	TP53BP2	RCHY1	WT1	HMGB1	COPS5	MCL1	TP53BP1	HIPK2	S100A4	HNRNPK	GADD45A	PPP2R5C	YBX1	PRKDC	SUMO1	DROSHA	ING1	TAF1	BAX	HSPA4	NFYA	STK11	TOP1	BRD7	TP53RK	HTT	ETS2	L3MBTL1	CARM1	CREB1	CD44	GRB7	ERBB2IP	PLXNB1	MUC4	IFNAR1	CBLC	FCGR2A	SETDB1	LRIG1	NHP2	FGF18	ERRFI1	SH3GL2	USP8	GPNMB	MUC1	PLCG2	BTC	HGS	TGFA	EPS8	EPGN	SOS1	PLAUR	SH3KBP1	CTNND1	AREG	SHC3	EPS15	CDCA5	TNFRSF10B	NGF	BDNF	FRS2	DLG4	NTF4	NTF3	RAC3	ARHGEF7	CDC42	FANCD2	RBBP8	BRCA2	ATRIP	RAD50	H2AFX	RAD17	LIG4	FANCI	MRE11A	IKBKG	RAD1	XRCC5	MDC1	RAD9A	RNF8	MTA2	DOCK1	CENPU	TJP1	FBXW7	HSPB8	PDE3B	PIK3CG	VEGFB	GJA1	SMARCA5	TOMM70A	RHOC	ROCK1	CASP10	DEPTOR	CSF1	IL34	SMC2	BATF	TIAM1	USP1	PRKAG2	SH2B3	APPL1	AKT2	SMAD6	PIK3CB	PRKCB	FCER1G	IL10RB	IFNGR2	CTBP1	TFF1	FGF1	FGF19	KL	WNT1	PORCN	LLGL1	LLGL2	PARD3	SQSTM1	PARD6B	PARD6G	ABI2	TDGF1	SAP30	RICTOR	CSF2	ALK	TNFRSF11B	TNFSF11	NOS3	INPPL1	CLEC1B	TSC1	RAB5B	DNM1L	PARK2	RAB29	CLSPN	ECT2	CDC25C	ERCC6L	KIF20A	FOXM1	GORASP1	STAT6	MED1	RRM2	MCM7	TUBA1A	TUBB2A	TUBB3	AXL	GAS6	PELP1	CDCA8	KIF2C	TK1	TYMS	FADD	LAMTOR3	KSR2	CLEC7A	AXIN2	NRTN	AURKC	TBL1XR1	RBBP4	BCR	PPID	SH2B2	CTLA4	CTNNA1	DTYMK	CEBPB	BRD3	GATA1	IL7R	SLAMF1	ING2	RPTOR	MLLT10	WDR48	MUS81	GP6	SMG5	RUVBL1	PIF1	PTGES3	PINX1	WRAP53	DKC1	NOP10	TBX5	FOSL1	BANF1	ERCC4	CASP3	REST	CFLAR	SPHK1	KHDRBS1	GLTSCR1L	NCAPD2	SMC4	DNAJA2	PAK2	KLK3	PER1	ARF1	ARFGAP2	TOLLIP	ANGPT2	TEK	DUT	MTHFR	DHFR	DCTD	STAT2	HTR1A	SUZ12	CLK4	CLK1	RECQL5	ROCK2	RHOA	NCL	CDK5R1	CDK5	HSPH1	BID	PRMT5	CHORDC1	MALT1	BMI1	ASXL1	JARID2	CHD4	MTF2	RNF2	KDM1A	HIST2H3PS2	E2F6	AEBP2	DNMT3B	PHF1	COMMD3-BMI1	RBBP7	PHF19	HCLS1	EML4	SH2B1	IL23R	PLK3	FGF8	FGF13	POLE	SOX2	PRKAG1	KLK4	HSPA5	ULK1	PPP2R1A	FRAT1	BTRC	DVL1	PSEN1	PGR	PMAIP1	IFNLR1	PAWR	HEXIM1	EFNA5	EPHA5	ESR2	SOCS1	PHF12	AZI2	TMEM173	MAVS	IRF3	CALCOCO2	OPTN	DDX3X	TANK	TRAF3	TBKBP1	CASP9	SOCS3	LEPR	MORF4L1	RARB	SMAD3	MTA1	HDAC6	VCP	PTPRB	APAF1	ILK	FKBP8	HSF1	TTC4	PINK1	HSPA1B	CHUK	SUGT1	HSPD1	FKBP5	CUL5	DNAJC7	STIP1	IKBKB	FKBPL	NLRP3	NR1I2	RAD54B	LIMK1	CFL1	TUBA1B	TUBB	TDP1	PTPRC	CD8A	CD2	ZBTB16	SNCA	TRIO	FGF9	HUWE1	EIF4EBP1	MARK2	PTN	PTK2	TRADD	SMAD4	TAB2	YAP1	NRG3	NRG4	PTGES	PLD1	PRKCA	IFNAR2	IFNGR1	IL2RG	IL6ST	UVSSA	UHRF1	GMPS	GFRAL	RPA2	IL17A	PDPK1	SGK1	PKN2	ATF3	RBPJ	ATP7A	PRKAG3	CRKL	HDAC9	BCAR1	SH2D1A	GRIN2B	ARHGAP35	WAS	YES1	GRIN2A	PRNP	NPHS1	FYB	MAGEA11	OCLN	GFRA1	GDNF	FAS	ARFIP2	PREX1	NCKAP1	PTPRS	NTRK3	ACTB	PRIM1	EFNA1	BCL10	TRAF6	BCAP31	BIRC2	FASLG	FAF1	RAD52	PELI1	MAP3K5	PIK3R6	PIK3R5	MAPK10	NR1H3	TFRC	TF	GATAD2A	TOPORS	WDHD1	DNAJC5	PRKCD	ULK2	AKT1S1	FKBP1A	LAMTOR2	RRAGA	MLST8	TTI1	ATG13	EIF4E	RRAGD	RRAGC	SMURF1	SMC3	HDAC8	XAF1	GAB2	BECN1	EXO1	CASP7	TIMELESS	TGFB2	EZR	NES	IL6R	GATAD2B	S100A13	THEM4	BUB3	BBC3	C22orf29	BAG3	TCF7L2	FLNA	IRAK4	IRF7	TLR4	TIRAP	BAG2	DNAJC6	DIABLO	SEPT4	IRF4	MAPK9	NFE2L2	NFATC2	STRA6	ORC1	CARD9	RAD54L	CD40	ABI1	MPL	SDC4	FPGS	AFF1	SUPT5H	CCNK	ATRX	SATB1	SIN3A	WHSC1	RUVBL2	EHMT2	MECP2	MBD3	SIN3B	E2F4	SAP18	CHD3	SUDS3	MTA3	SNAI2	PTPN21	PTPRA	CTTN	KIF4A	TGFB1I1	NCOA4	MSH5	RND3	PTPN6	CD79B	TNFRSF1B	KDM6A	PRIM2	MCM10	POLD2	CDC45	MCM3	DNAJC2	DNAJA1	ANGPT1	ANGPT4	MLLT3	NOP56	CISH	IL12RB1	PRLR	CSF2RB	CSF2RA	CXCR4	GHR	MTHFD2L	MTHFD2	MTHFD1L	FGFBP1	SH3BP5	MDK	NCOA7	RFC4	GIPC1	PPP2R4	AKAP5	PBRM1	FZR1	PBK	NCAPD3	STMN1	WEE1	GSTP1	MAP3K1	MAP2K7	MAP2K4	CAST	CAPN1	THRB	DDX17	CRY2	LPXN	HIST1H4E	TNFRSF11A	PPP1R12A	TCL1A	PICK1	NCAM1	FGF21	DPF2	TNFAIP3	CCL5	PHB2	LAMP2	PPP2CA	VDR	NR1H4	BAG1	CD19	GTF2I
FKBP4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
